mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P10,valence,eeg,knn,all,1,22,28,25,45
general,COHORT,P11,valence,eeg,knn,all,2,5,53,5,57
general,COHORT,P19,valence,eeg,knn,all,3,19,24,33,44
general,COHORT,P22,valence,eeg,knn,all,4,32,36,27,25
general,COHORT,P25,valence,eeg,knn,all,5,14,40,23,43
general,COHORT,P32,valence,eeg,knn,all,6,16,42,16,46
general,COHORT,P40,valence,eeg,knn,all,7,34,20,40,26
general,COHORT,P42,valence,eeg,knn,all,8,30,22,35,33
general,COHORT,P43,valence,eeg,knn,all,9,11,32,33,44
general,COHORT,P45,valence,eeg,knn,all,10,20,22,41,37
general,COHORT,P10,valence,eeg,knn,5,1,37,13,56,14
general,COHORT,P11,valence,eeg,knn,5,2,16,42,17,45
general,COHORT,P19,valence,eeg,knn,5,3,20,23,27,50
general,COHORT,P22,valence,eeg,knn,5,4,18,50,15,37
general,COHORT,P25,valence,eeg,knn,5,5,22,32,24,42
general,COHORT,P32,valence,eeg,knn,5,6,12,46,15,47
general,COHORT,P40,valence,eeg,knn,5,7,19,35,28,38
general,COHORT,P42,valence,eeg,knn,5,8,19,33,32,36
general,COHORT,P43,valence,eeg,knn,5,9,13,30,21,56
general,COHORT,P45,valence,eeg,knn,5,10,19,23,38,40
general,COHORT,P10,valence,eeg,knn,10,1,27,23,40,30
general,COHORT,P11,valence,eeg,knn,10,2,13,45,16,46
general,COHORT,P19,valence,eeg,knn,10,3,19,24,32,45
general,COHORT,P22,valence,eeg,knn,10,4,21,47,13,39
general,COHORT,P25,valence,eeg,knn,10,5,20,34,27,39
general,COHORT,P32,valence,eeg,knn,10,6,16,42,26,36
general,COHORT,P40,valence,eeg,knn,10,7,19,35,26,40
general,COHORT,P42,valence,eeg,knn,10,8,20,32,33,35
general,COHORT,P43,valence,eeg,knn,10,9,7,36,30,47
general,COHORT,P45,valence,eeg,knn,10,10,22,20,37,41
general,COHORT,P10,valence,eeg,knn,20,1,33,17,37,33
general,COHORT,P11,valence,eeg,knn,20,2,17,41,9,53
general,COHORT,P19,valence,eeg,knn,20,3,21,22,28,49
general,COHORT,P22,valence,eeg,knn,20,4,31,37,20,32
general,COHORT,P25,valence,eeg,knn,20,5,16,38,27,39
general,COHORT,P32,valence,eeg,knn,20,6,12,46,14,48
general,COHORT,P40,valence,eeg,knn,20,7,24,30,20,46
general,COHORT,P42,valence,eeg,knn,20,8,22,30,35,33
general,COHORT,P43,valence,eeg,knn,20,9,18,25,29,48
general,COHORT,P45,valence,eeg,knn,20,10,20,22,30,48
general,COHORT,P10,valence,eeg,svm,all,1,0,50,0,70
general,COHORT,P11,valence,eeg,svm,all,2,0,58,0,62
general,COHORT,P19,valence,eeg,svm,all,3,0,43,0,77
general,COHORT,P22,valence,eeg,svm,all,4,1,67,8,44
general,COHORT,P25,valence,eeg,svm,all,5,11,43,24,42
general,COHORT,P32,valence,eeg,svm,all,6,4,54,5,57
general,COHORT,P40,valence,eeg,svm,all,7,20,34,36,30
general,COHORT,P42,valence,eeg,svm,all,8,0,52,0,68
general,COHORT,P43,valence,eeg,svm,all,9,0,43,0,77
general,COHORT,P45,valence,eeg,svm,all,10,0,42,0,78
general,COHORT,P10,valence,eeg,svm,5,1,0,50,0,70
general,COHORT,P11,valence,eeg,svm,5,2,0,58,0,62
general,COHORT,P19,valence,eeg,svm,5,3,0,43,0,77
general,COHORT,P22,valence,eeg,svm,5,4,0,68,1,51
general,COHORT,P25,valence,eeg,svm,5,5,13,41,18,48
general,COHORT,P32,valence,eeg,svm,5,6,13,45,17,45
general,COHORT,P40,valence,eeg,svm,5,7,0,54,0,66
general,COHORT,P42,valence,eeg,svm,5,8,13,39,22,46
general,COHORT,P43,valence,eeg,svm,5,9,3,40,10,67
general,COHORT,P45,valence,eeg,svm,5,10,0,42,0,78
general,COHORT,P10,valence,eeg,svm,10,1,9,41,12,58
general,COHORT,P11,valence,eeg,svm,10,2,0,58,0,62
general,COHORT,P19,valence,eeg,svm,10,3,0,43,0,77
general,COHORT,P22,valence,eeg,svm,10,4,0,68,2,50
general,COHORT,P25,valence,eeg,svm,10,5,14,40,26,40
general,COHORT,P32,valence,eeg,svm,10,6,10,48,16,46
general,COHORT,P40,valence,eeg,svm,10,7,0,54,0,66
general,COHORT,P42,valence,eeg,svm,10,8,0,52,0,68
general,COHORT,P43,valence,eeg,svm,10,9,0,43,0,77
general,COHORT,P45,valence,eeg,svm,10,10,0,42,0,78
general,COHORT,P10,valence,eeg,svm,20,1,2,48,12,58
general,COHORT,P11,valence,eeg,svm,20,2,0,58,0,62
general,COHORT,P19,valence,eeg,svm,20,3,0,43,0,77
general,COHORT,P22,valence,eeg,svm,20,4,0,68,1,51
general,COHORT,P25,valence,eeg,svm,20,5,12,42,23,43
general,COHORT,P32,valence,eeg,svm,20,6,11,47,15,47
general,COHORT,P40,valence,eeg,svm,20,7,26,28,33,33
general,COHORT,P42,valence,eeg,svm,20,8,22,30,39,29
general,COHORT,P43,valence,eeg,svm,20,9,29,14,30,47
general,COHORT,P45,valence,eeg,svm,20,10,0,42,0,78
general,COHORT,P10,valence,eeg,gnb,all,1,31,19,39,31
general,COHORT,P11,valence,eeg,gnb,all,2,8,50,9,53
general,COHORT,P19,valence,eeg,gnb,all,3,3,40,7,70
general,COHORT,P22,valence,eeg,gnb,all,4,5,63,14,38
general,COHORT,P25,valence,eeg,gnb,all,5,11,43,16,50
general,COHORT,P32,valence,eeg,gnb,all,6,4,54,8,54
general,COHORT,P40,valence,eeg,gnb,all,7,10,44,8,58
general,COHORT,P42,valence,eeg,gnb,all,8,2,50,5,63
general,COHORT,P43,valence,eeg,gnb,all,9,0,43,0,77
general,COHORT,P45,valence,eeg,gnb,all,10,0,42,0,78
general,COHORT,P10,valence,eeg,gnb,5,1,38,12,57,13
general,COHORT,P11,valence,eeg,gnb,5,2,9,49,5,57
general,COHORT,P19,valence,eeg,gnb,5,3,5,38,9,68
general,COHORT,P22,valence,eeg,gnb,5,4,3,65,11,41
general,COHORT,P25,valence,eeg,gnb,5,5,11,43,17,49
general,COHORT,P32,valence,eeg,gnb,5,6,19,39,28,34
general,COHORT,P40,valence,eeg,gnb,5,7,35,19,42,24
general,COHORT,P42,valence,eeg,gnb,5,8,22,30,34,34
general,COHORT,P43,valence,eeg,gnb,5,9,33,10,54,23
general,COHORT,P45,valence,eeg,gnb,5,10,38,4,73,5
general,COHORT,P10,valence,eeg,gnb,10,1,45,5,60,10
general,COHORT,P11,valence,eeg,gnb,10,2,8,50,5,57
general,COHORT,P19,valence,eeg,gnb,10,3,2,41,4,73
general,COHORT,P22,valence,eeg,gnb,10,4,6,62,13,39
general,COHORT,P25,valence,eeg,gnb,10,5,22,32,30,36
general,COHORT,P32,valence,eeg,gnb,10,6,21,37,36,26
general,COHORT,P40,valence,eeg,gnb,10,7,31,23,36,30
general,COHORT,P42,valence,eeg,gnb,10,8,37,15,47,21
general,COHORT,P43,valence,eeg,gnb,10,9,33,10,50,27
general,COHORT,P45,valence,eeg,gnb,10,10,35,7,65,13
general,COHORT,P10,valence,eeg,gnb,20,1,45,5,58,12
general,COHORT,P11,valence,eeg,gnb,20,2,6,52,6,56
general,COHORT,P19,valence,eeg,gnb,20,3,0,43,0,77
general,COHORT,P22,valence,eeg,gnb,20,4,3,65,8,44
general,COHORT,P25,valence,eeg,gnb,20,5,16,38,19,47
general,COHORT,P32,valence,eeg,gnb,20,6,24,34,36,26
general,COHORT,P40,valence,eeg,gnb,20,7,10,44,13,53
general,COHORT,P42,valence,eeg,gnb,20,8,2,50,3,65
general,COHORT,P43,valence,eeg,gnb,20,9,19,24,35,42
general,COHORT,P45,valence,eeg,gnb,20,10,34,8,66,12
general,COHORT,P10,valence,face,knn,all,1,40,10,44,26
general,COHORT,P11,valence,face,knn,all,2,20,38,19,43
general,COHORT,P19,valence,face,knn,all,3,16,27,31,46
general,COHORT,P22,valence,face,knn,all,4,2,66,0,52
general,COHORT,P25,valence,face,knn,all,5,10,44,8,58
general,COHORT,P32,valence,face,knn,all,6,12,46,21,41
general,COHORT,P40,valence,face,knn,all,7,18,36,31,35
general,COHORT,P42,valence,face,knn,all,8,31,21,41,27
general,COHORT,P43,valence,face,knn,all,9,7,36,17,60
general,COHORT,P45,valence,face,knn,all,10,13,29,19,59
general,COHORT,P10,valence,face,knn,5,1,25,25,34,36
general,COHORT,P11,valence,face,knn,5,2,12,46,7,55
general,COHORT,P19,valence,face,knn,5,3,15,28,15,62
general,COHORT,P22,valence,face,knn,5,4,7,61,4,48
general,COHORT,P25,valence,face,knn,5,5,13,41,11,55
general,COHORT,P32,valence,face,knn,5,6,25,33,21,41
general,COHORT,P40,valence,face,knn,5,7,25,29,33,33
general,COHORT,P42,valence,face,knn,5,8,22,30,33,35
general,COHORT,P43,valence,face,knn,5,9,4,39,15,62
general,COHORT,P45,valence,face,knn,5,10,16,26,35,43
general,COHORT,P10,valence,face,knn,10,1,40,10,44,26
general,COHORT,P11,valence,face,knn,10,2,20,38,19,43
general,COHORT,P19,valence,face,knn,10,3,16,27,31,46
general,COHORT,P22,valence,face,knn,10,4,2,66,0,52
general,COHORT,P25,valence,face,knn,10,5,10,44,8,58
general,COHORT,P32,valence,face,knn,10,6,12,46,21,41
general,COHORT,P40,valence,face,knn,10,7,18,36,31,35
general,COHORT,P42,valence,face,knn,10,8,31,21,41,27
general,COHORT,P43,valence,face,knn,10,9,7,36,17,60
general,COHORT,P45,valence,face,knn,10,10,13,29,19,59
general,COHORT,P10,valence,face,knn,20,1,40,10,44,26
general,COHORT,P11,valence,face,knn,20,2,20,38,19,43
general,COHORT,P19,valence,face,knn,20,3,16,27,31,46
general,COHORT,P22,valence,face,knn,20,4,2,66,0,52
general,COHORT,P25,valence,face,knn,20,5,10,44,8,58
general,COHORT,P32,valence,face,knn,20,6,12,46,21,41
general,COHORT,P40,valence,face,knn,20,7,18,36,31,35
general,COHORT,P42,valence,face,knn,20,8,31,21,41,27
general,COHORT,P43,valence,face,knn,20,9,7,36,17,60
general,COHORT,P45,valence,face,knn,20,10,13,29,19,59
general,COHORT,P10,valence,face,svm,all,1,37,13,36,34
general,COHORT,P11,valence,face,svm,all,2,0,58,0,62
general,COHORT,P19,valence,face,svm,all,3,2,41,6,71
general,COHORT,P22,valence,face,svm,all,4,3,65,5,47
general,COHORT,P25,valence,face,svm,all,5,0,54,0,66
general,COHORT,P32,valence,face,svm,all,6,0,58,0,62
general,COHORT,P40,valence,face,svm,all,7,0,54,0,66
general,COHORT,P42,valence,face,svm,all,8,0,52,0,68
general,COHORT,P43,valence,face,svm,all,9,0,43,0,77
general,COHORT,P45,valence,face,svm,all,10,0,42,0,78
general,COHORT,P10,valence,face,svm,5,1,41,9,53,17
general,COHORT,P11,valence,face,svm,5,2,0,58,0,62
general,COHORT,P19,valence,face,svm,5,3,0,43,0,77
general,COHORT,P22,valence,face,svm,5,4,3,65,0,52
general,COHORT,P25,valence,face,svm,5,5,0,54,0,66
general,COHORT,P32,valence,face,svm,5,6,0,58,3,59
general,COHORT,P40,valence,face,svm,5,7,2,52,1,65
general,COHORT,P42,valence,face,svm,5,8,0,52,0,68
general,COHORT,P43,valence,face,svm,5,9,0,43,0,77
general,COHORT,P45,valence,face,svm,5,10,0,42,0,78
general,COHORT,P10,valence,face,svm,10,1,37,13,36,34
general,COHORT,P11,valence,face,svm,10,2,0,58,0,62
general,COHORT,P19,valence,face,svm,10,3,2,41,6,71
general,COHORT,P22,valence,face,svm,10,4,3,65,5,47
general,COHORT,P25,valence,face,svm,10,5,0,54,0,66
general,COHORT,P32,valence,face,svm,10,6,0,58,0,62
general,COHORT,P40,valence,face,svm,10,7,0,54,0,66
general,COHORT,P42,valence,face,svm,10,8,0,52,0,68
general,COHORT,P43,valence,face,svm,10,9,0,43,0,77
general,COHORT,P45,valence,face,svm,10,10,0,42,0,78
general,COHORT,P10,valence,face,svm,20,1,37,13,36,34
general,COHORT,P11,valence,face,svm,20,2,0,58,0,62
general,COHORT,P19,valence,face,svm,20,3,2,41,6,71
general,COHORT,P22,valence,face,svm,20,4,3,65,5,47
general,COHORT,P25,valence,face,svm,20,5,0,54,0,66
general,COHORT,P32,valence,face,svm,20,6,0,58,0,62
general,COHORT,P40,valence,face,svm,20,7,0,54,0,66
general,COHORT,P42,valence,face,svm,20,8,0,52,0,68
general,COHORT,P43,valence,face,svm,20,9,0,43,0,77
general,COHORT,P45,valence,face,svm,20,10,0,42,0,78
general,COHORT,P10,valence,face,gnb,all,1,31,19,32,38
general,COHORT,P11,valence,face,gnb,all,2,4,54,3,59
general,COHORT,P19,valence,face,gnb,all,3,10,33,30,47
general,COHORT,P22,valence,face,gnb,all,4,3,65,4,48
general,COHORT,P25,valence,face,gnb,all,5,0,54,0,66
general,COHORT,P32,valence,face,gnb,all,6,33,25,38,24
general,COHORT,P40,valence,face,gnb,all,7,3,51,4,62
general,COHORT,P42,valence,face,gnb,all,8,0,52,3,65
general,COHORT,P43,valence,face,gnb,all,9,0,43,0,77
general,COHORT,P45,valence,face,gnb,all,10,0,42,0,78
general,COHORT,P10,valence,face,gnb,5,1,18,32,20,50
general,COHORT,P11,valence,face,gnb,5,2,4,54,3,59
general,COHORT,P19,valence,face,gnb,5,3,4,39,11,66
general,COHORT,P22,valence,face,gnb,5,4,1,67,0,52
general,COHORT,P25,valence,face,gnb,5,5,2,52,1,65
general,COHORT,P32,valence,face,gnb,5,6,10,48,13,49
general,COHORT,P40,valence,face,gnb,5,7,3,51,4,62
general,COHORT,P42,valence,face,gnb,5,8,0,52,1,67
general,COHORT,P43,valence,face,gnb,5,9,0,43,0,77
general,COHORT,P45,valence,face,gnb,5,10,3,39,0,78
general,COHORT,P10,valence,face,gnb,10,1,31,19,32,38
general,COHORT,P11,valence,face,gnb,10,2,4,54,3,59
general,COHORT,P19,valence,face,gnb,10,3,10,33,30,47
general,COHORT,P22,valence,face,gnb,10,4,3,65,4,48
general,COHORT,P25,valence,face,gnb,10,5,0,54,0,66
general,COHORT,P32,valence,face,gnb,10,6,33,25,38,24
general,COHORT,P40,valence,face,gnb,10,7,3,51,4,62
general,COHORT,P42,valence,face,gnb,10,8,0,52,3,65
general,COHORT,P43,valence,face,gnb,10,9,0,43,0,77
general,COHORT,P45,valence,face,gnb,10,10,0,42,0,78
general,COHORT,P10,valence,face,gnb,20,1,31,19,32,38
general,COHORT,P11,valence,face,gnb,20,2,4,54,3,59
general,COHORT,P19,valence,face,gnb,20,3,10,33,30,47
general,COHORT,P22,valence,face,gnb,20,4,3,65,4,48
general,COHORT,P25,valence,face,gnb,20,5,0,54,0,66
general,COHORT,P32,valence,face,gnb,20,6,33,25,38,24
general,COHORT,P40,valence,face,gnb,20,7,3,51,4,62
general,COHORT,P42,valence,face,gnb,20,8,0,52,3,65
general,COHORT,P43,valence,face,gnb,20,9,0,43,0,77
general,COHORT,P45,valence,face,gnb,20,10,0,42,0,78
general,COHORT,P10,valence,multimodal,knn,all,1,27,23,30,40
general,COHORT,P11,valence,multimodal,knn,all,2,6,52,6,56
general,COHORT,P19,valence,multimodal,knn,all,3,5,38,20,57
general,COHORT,P22,valence,multimodal,knn,all,4,24,44,24,28
general,COHORT,P25,valence,multimodal,knn,all,5,4,50,10,56
general,COHORT,P32,valence,multimodal,knn,all,6,13,45,14,48
general,COHORT,P40,valence,multimodal,knn,all,7,25,29,35,31
general,COHORT,P42,valence,multimodal,knn,all,8,29,23,35,33
general,COHORT,P43,valence,multimodal,knn,all,9,12,31,28,49
general,COHORT,P45,valence,multimodal,knn,all,10,16,26,29,49
general,COHORT,P10,valence,multimodal,knn,5,1,34,16,56,14
general,COHORT,P11,valence,multimodal,knn,5,2,16,42,17,45
general,COHORT,P19,valence,multimodal,knn,5,3,16,27,31,46
general,COHORT,P22,valence,multimodal,knn,5,4,14,54,7,45
general,COHORT,P25,valence,multimodal,knn,5,5,15,39,25,41
general,COHORT,P32,valence,multimodal,knn,5,6,12,46,15,47
general,COHORT,P40,valence,multimodal,knn,5,7,19,35,26,40
